PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Chimezie Metu,SAS,99.4,100.6,-1.3,14,0.87,13.8,6.1,17.9,12.1,16,32.8,38.9,22.3,104.79,5.2,319
Isaiah Hartenstein,HOU,113,103.4,9.6,10,1.15,20,8.9,11.8,10.3,17.3,51.2,56.2,11.2,102.4,3.1,469
Donte DiVincenzo,MIL,111,98.4,12.6,10.2,1.63,17.3,3.6,9.9,6.9,10.6,49.2,50.7,14.5,106.79,6.2,911
Jaron Blossomgame,CLE,103.7,109.6,-6,4.3,1.18,9.6,5.5,16.2,10.7,8.1,49.1,51,12,98.26,7.8,904
Khyri Thomas,DET,94.6,102.7,-8,6.7,2,9.4,1.7,8.2,4.6,4.7,39.1,41.3,15.8,100.8,3.1,410
Johnathan Williams,LAL,110,102.4,7.6,5.1,0.81,8.1,11.6,13,12.3,10,59.1,59.9,15.8,102.34,7.8,790
Drew Eubanks,SAS,95.4,105.5,-10,10,0.88,14.9,5.6,21.4,14.3,17,57.7,64.6,14.8,101.37,11.1,241
Isaac Bonga,LAL,96.6,89.6,7,16.3,2.5,24.6,6.4,11.3,8.9,9.8,15.2,24,15.1,106.78,3.9,264
Anfernee Simons,POR,104.5,122.1,-17.6,13.5,1.18,13.7,2.2,6.7,4.6,11.6,52.4,53.5,24,105.22,6,309
Shake Milton,PHI,110.9,112.1,-1.1,8.6,3,15.8,3.1,9.6,6.2,5.3,47.1,48.3,14.7,102.63,4.9,576
Cam Reynolds,MIN,107.5,112.4,-4.9,7.3,2.6,13,1.4,10.2,5.7,5,55.8,58,14.1,101.29,6.3,548
Deng Adel,CLE,100,109.5,-9.5,3.8,0.83,10.2,1.4,8.9,4.8,12.2,38.9,42.4,9.7,96.66,1.8,394
Julian Washburn,MEM,102.9,105,-2,8.3,2,19.7,2.7,12.8,7.5,9.9,38.5,40.2,9.6,98.03,5.3,513
Theo Pinson,BKN,93.6,94.3,-0.6,16.7,1.17,17.1,1.5,12.6,7,14.6,42.5,49,19.1,103.32,8.3,456
Jarred Vanderbilt,DEN,96.9,92.5,4.5,6.4,0.38,8.6,8.4,20.5,14.3,22.9,47.4,51.3,17.9,111.35,8.5,162
Lonnie Walker IV,SAS,87.4,111.7,-24.3,14.3,2.25,14.1,0,12.2,6.5,6.3,40.2,44.6,19.6,102.28,8.3,254
Brandon Goodwin,DEN,107.2,99.2,8,29.8,4.67,31.1,1.6,3.8,2.6,6.7,30.4,41.3,22,104.32,4.6,125
Duncan Robinson,MIA,98,108.8,-10.9,4.5,1.25,8.8,1.1,9.1,5.2,7,50,51.4,13.4,101.7,5.5,343
Gary Trent Jr.,POR,110.3,115.1,-4.7,5.7,1.25,8.1,1,8,4.8,6.5,37,37.7,21.3,104.42,2.3,242
Yuta Watanabe,MEM,108.5,103,5.5,6.3,1.33,11.4,2.2,15.2,8.6,8.6,31.4,35.2,14.8,100.76,3.6,366
Alize Johnson,IND,110.7,112.2,-1.6,1.8,0,4.8,5.1,19.2,12.2,0,28.1,33.3,11.6,110.63,3.6,150
Brandon Sampson,CHI,107.9,113.9,-6,6.3,0.83,11.8,1.4,6.3,3.8,14.1,55.8,56.7,15.4,99.56,4.3,444
Jared Terrell,MIN,94.1,106.4,-12.3,18.2,1.2,18.8,0.8,4.4,2.5,15.6,35.9,37.2,19.7,101.69,-0.9,236
Ray Spalding,PHX,99.1,105.9,-6.8,5.2,0.56,7.6,9.1,19,14.2,13.6,53.2,51.6,16.4,105.51,9.2,325
Amile Jefferson,ORL,124.3,115.5,8.8,5.2,3,12.5,8.2,25,15.8,4.2,62.5,69.2,12.5,104.09,11.1,148
Dairis Bertans,NOP,98.1,113.1,-15,7.8,5,16.9,1.1,3.6,2.4,3.4,36.2,36.2,12,105.89,1.3,371
Jordan Loyd,TOR,94.5,110.2,-15.7,18.2,3,20,1.7,13.3,7.5,6.7,55.6,63.5,15.9,111.17,12.1,127
Marcus Derrickson,GSW,96.4,104.3,-7.9,2.6,0.33,2.6,10.4,6.3,8.3,7.7,63.6,65.3,23.3,99.46,10.9,140
Thomas Welsh,DEN,100,97.7,2.3,20,5,25,0,11.4,4.7,5,65.4,64.8,15.3,115.02,10.6,87
Melvin Frazier Jr.,ORL,96,109.5,-13.5,3.2,1,4,5.3,4.5,5,4,33.3,33,20.5,104.79,-2,99
Rawle Alkins,CHI,106.3,111.8,-5.5,13.7,1.63,20,7.7,12,9.7,12.3,37.2,41.8,17.3,101.9,5.1,256
Dzanan Musa,BKN,100,89.4,10.6,8.3,0.5,6.9,1.9,10.5,5.4,13.8,43.2,41.5,25,104.46,5.3,86
Bonzie Colson,MIL,108.4,117.5,-9.2,4,1,6.1,6.5,18.2,12.2,6.1,39.7,45.4,17.4,110.89,8.1,227
Daryl Macon,DAL,102.7,104.7,-2.1,12.3,1.17,16.3,1.9,9.9,5.7,14,46.3,48.2,16.7,100.97,4.1,188
BJ Johnson,SAC,102.8,115.3,-12.6,0,0,0,3.8,15,8.6,9.5,58.3,60.9,17.8,106.99,7.4,109
Chris Chiozza,HOU,83.8,108.8,-25,19,4,30.8,2.1,11.1,5.3,7.7,37.5,37.5,10.8,104.75,5.1,74
DeVaughn Akoon-Purcell,DEN,106.3,102,4.2,37.5,3,31.6,4.3,15,9.3,10.5,30,32.2,22.8,107.55,5.3,48
Jemerrio Jones,LAL,108.7,98,10.7,11.5,2.6,25,10,19.8,15,9.6,39.4,39.8,10.8,100.62,9.8,298
