PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Dewan Hernandez,TOR,120.3,103.1,17.2,12.5,1,13.6,17.2,26.5,22.2,13.6,39.3,43.2,25.7,108.8,7.3,64
Talen Horton-Tucker,LAL,101.7,111.2,-9.5,10.7,1,13.6,2.2,5.6,3.9,13.6,53.3,53.5,18,105.58,6.1,178
Jalen Lecque,PHX,83.8,104.1,-20.2,11.8,1,13.3,0,5.7,3,13.3,40,46,18.6,107.84,2.7,68
KZ Okpala,MIA,86.3,118,-31.7,7.7,1,14.3,3.8,16,9.8,14.3,60,59.5,10.2,93.32,10.3,51
Zach Norvell Jr.,GSW,103.3,135.6,-32.3,9.1,1,16.7,0,20.7,8.6,16.7,37.5,40.2,14.7,107.05,2.6,92
Josh Reaves,DAL,107.1,91.7,15.5,15.8,0,23.1,3,6.3,4.6,0,33.3,40.5,16.1,98.31,2.4,56
Justin Wright-Foreman,UTA,88.5,121.1,-32.5,29.2,2.33,21.9,0,12.5,5.4,9.4,40,43.7,22.5,101.53,6.5,96
Marial Shayok,PHI,93.9,117.2,-23.2,5.3,0.33,5.6,3.3,19.4,11.5,16.7,33.3,40,24.3,111.97,1.5,66
Matt Mooney,CLE,92.5,75,17.5,7.1,0,20,0,15.8,6.5,0,25,25,8,102.4,7.5,40
Shamorie Ponds,TOR,121.7,127.3,-5.5,40,0,25,0,16.7,6.3,0,70,76.5,22.2,102.05,19.1,23
Stanton Kidd,UTA,91.2,88.9,2.3,10,0.5,16.7,0,15.8,9.1,33.3,0,0,13.9,109.92,-7.7,34
Zylan Cheatham,NOP,97.3,121.2,-23.9,9.4,0.75,18.8,6.3,12.8,9.5,25,66.7,66.7,10.3,105.79,3.4,112
Isaiah Roby,OKC,88.5,100,-11.5,0,0,0,0,16.7,8,50,0,0,7.1,111.58,-2,26
Jared Harper,NYK,83.3,144.4,-61.1,0,0,0,0,0,0,0,25,25,22.2,109.6,-2.6,18
Kyle Guy,SAC,91.7,137.5,-45.8,12.5,0,16.7,0,9.1,4.5,0,40,40,20,120.21,3.8,24
Luka Samanic,SAS,105,96.2,8.8,18.2,3,23.1,2,16.7,9.6,7.7,40.6,45,17.9,102.11,6.8,101
Tariq Owens,PHX,83.9,127.3,-43.4,0,0,0,10.5,6.7,8.8,0,20,34,17.1,99.74,3.1,31
Kyle Alexander,MIA,87.1,93.8,-6.7,0,0,0,11.1,6.7,9.1,33.3,50,50,7.9,113.12,2.1,31
Max Strus,CHI,193.3,87.5,105.8,0,0,0,16.7,0,6.3,0,66.7,72.7,15.8,119.36,12.3,15
William Howard,HOU,62.1,113.3,-51.3,20,1,16.7,0,25,7.7,16.7,0,0,15.2,106.73,-8.6,29
Devontae Cacok,LAL,131.8,109.1,22.7,12.5,0,14.3,16.7,33.3,23.8,0,50,50,22.2,119.1,14.7,22
Eric Mika,SAC,122,102.4,19.5,0,0,0,11.1,26.3,18.9,0,66.7,77.3,8.9,103.35,7.7,41
Malik Newman,CLE,57.1,87.5,-30.4,0,0,0,0,0,0,25,0,34.7,57.1,97.74,-15.4,7
Marques Bolden,CLE,114.3,57.1,57.1,0,0,0,0,50,33.3,0,0,0,0,119.29,30.8,7
Anthony Edwards,MIN,110.6,115.6,-5,14.2,1.32,12.4,2.3,12.1,7,9.4,48.8,52.3,26.4,102.71,9.4,4961
Patrick Williams,CHI,106.3,113.5,-7.1,6.8,1.01,12.7,3.3,13.1,8.2,12.6,53.4,56.2,14.6,100.41,7.1,4151
Jae'Sean Tate,HOU,108,111.8,-3.8,12.7,1.82,18.4,6,11.8,8.8,10.1,55.4,57.6,16.1,102.71,8.3,4360
Saddiq Bey,DET,105.6,111.2,-5.6,7.7,1.58,10.5,2.2,14.5,8.2,6.6,53,56.7,18.2,99.47,9.2,3960
Desmond Bane,MEM,110.1,109.7,0.4,10.5,2,17.1,1.9,11.6,6.6,8.5,58.6,60,15.5,101.71,8,3218
Isaiah Stewart,DET,105.5,107.4,-2,6.4,0.88,10.3,10.5,19.3,14.9,11.7,57.8,59.7,15,99.66,10.8,3020
Isaac Okoro,CLE,104.6,113.4,-8.7,8.6,1.49,15.2,3.1,6.6,4.8,10.2,47.6,51.4,14.2,98.07,4.4,4431
Payton Pritchard,BOS,111.2,110.6,0.6,13.6,2.26,19.6,2.5,9.9,6.1,8.7,56.2,58.2,16.2,99.38,8.2,2636
Facundo Campazzo,DEN,111.6,108.8,2.8,21.5,3.18,35.3,1.5,8.1,4.7,11.1,50.2,55.8,12.8,99.09,7.4,2940
Theo Maledon,OKC,97.2,113.6,-16.5,19.7,1.61,21.8,1.2,10.1,5.5,13.6,45.4,48.9,18.8,103.27,6.3,3829
Immanuel Quickley,NYK,111.6,104.5,7.1,16.4,2.19,15.3,2,8.6,5.4,7,49.7,55.7,24.6,97.18,10.3,2519
Jaden McDaniels,MIN,109.6,113.1,-3.4,6.4,1.51,14.1,3.2,11.8,7.3,9.3,54.5,55.2,11.8,103.13,5,3250
Devin Vassell,SAS,106.5,108.9,-2.4,7.1,2.55,14,2.1,13.8,7.9,5.5,49.2,52.4,13.8,102.37,7.1,2247
Obi Toppin,NYK,109.1,106.5,2.7,6.5,1.26,10.7,3.7,15.5,9.7,8.5,56,57.4,15.7,97.43,9.3,1381
Precious Achiuwa,MIA,102,109.2,-7.2,6.4,0.67,8.3,9.7,17.4,13.6,12.3,54.4,55,18.4,101.39,8.6,1555
Tyrese Maxey,PHI,106.4,108,-1.6,20.7,2.93,19.4,1.1,9.8,5.4,6.6,49.8,53.1,22.2,101.2,10.6,1963
Xavier Tillman,MEM,109.5,106.6,2.9,9.6,1.67,17.1,6.5,16.3,11.3,10.3,59.5,60.5,14.2,101.41,9.5,2276
Tyrese Haliburton,SAC,110.8,116.4,-5.6,24.7,3.36,29.7,2.2,7.6,4.9,8.8,56.9,58.5,17.5,102.31,10.4,3733
Deni Avdija,WAS,107.8,109.9,-2.1,6.4,1.91,14.8,1.7,18.1,9.9,7.7,50.2,51.5,11.8,106.28,6,2773
Kira Lewis Jr.,NOP,108.9,108.1,0.8,19.1,3.65,24,1.2,6.4,3.7,6.6,44.5,47.7,17.6,102.61,6.4,1937
LaMelo Ball,CHA,108.7,111.8,-3.1,32.2,2.16,26.1,4.1,16.1,10,12.1,50.4,53.9,24.7,103.35,12.1,3169
R.J. Hampton,ORL,102.6,116.7,-14.2,15.5,1.64,17.8,3,16.2,9.4,10.8,47.8,50.7,19.1,101.94,8.5,1879
Onyeka Okongwu,ATL,106.2,112.6,-6.3,4.7,0.62,8.2,10,17.2,13.5,13.2,64.4,65.5,14.1,101.4,8.7,1266
Saben Lee,DET,105.4,111.7,-6.3,33.3,3.16,36.3,2.6,9.9,6.3,11.5,49,53.6,17.1,98.91,9.6,1614
Cole Anthony,ORL,103.5,116.3,-12.8,24.1,1.81,21.2,2.7,14.2,8.1,11.7,44.9,49.6,23.5,100.08,9.1,2662
Malachi Flynn,TOR,103.8,109.4,-5.6,22.5,3.19,25.3,1,11.4,6,7.9,45.3,48.4,18.3,101.04,8.3,1958
Aaron Nesmith,BOS,108.6,109.1,-0.5,4.7,1,9.7,4.1,14.6,9.3,9.7,55.1,57.3,13.3,101.13,6,1409
Aleksej Pokusevski,OKC,98.1,114.9,-16.7,13.3,0.98,15.5,2.5,15.5,9,15.9,41.2,43,19.7,104.44,5.8,2373
Chuma Okeke,ORL,102.6,109.8,-7.2,13.2,2.66,21.1,3.3,11.7,7.4,7.9,49.2,51.1,14.2,100.85,8.4,2374
KJ Martin,HOU,105.5,117,-11.5,6.8,1.26,10.9,6.3,15.9,10.8,8.6,56.4,59,15.4,102.71,9,2275
Zeke Nnaji,DEN,102,112.5,-10.5,3.7,1.43,7.8,3.4,12.9,8,5.5,59.6,61.5,12.6,102.52,7.4,852
Isaiah Joe,PHI,106.9,105.1,1.8,7.2,1.82,11.5,1.4,8.3,4.5,6.3,50.8,53.3,16.3,103.07,5.8,816
Lamar Stevens,CLE,100.1,110.5,-10.4,7.9,1.09,12,4.4,14.5,9.2,11.1,47.1,52.1,15.2,100.57,7.2,1042
James Wiseman,GSW,101.8,110.6,-8.8,5,0.43,5.3,6.3,19,12.7,12.2,53.5,55.2,23.1,105.66,8.8,1830
Josh Green,DAL,106.7,104.7,1.9,8.3,1.65,19,5.9,11,8.4,11.6,47.3,49,11.2,100.45,5.7,930
Markus Howard,DEN,93.5,110.5,-17,14.5,1,12.4,0.4,9.5,4.8,12.4,46.2,47.7,25,107.97,4.6,465
Tre Jones,SAS,98.4,112.2,-13.8,22.8,3,28.1,2.8,4.9,3.8,9.4,49.4,54.4,15.9,100.88,8.4,562
Nathan Knight,ATL,102.6,106.9,-4.3,4.5,0.53,5.4,9.3,15.5,12.4,10.1,40,49.9,20.7,100.55,8.9,588
Skylar Mays,ATL,107,105.6,1.4,18,3.33,20.1,3.7,9.5,6.6,6,52,56.9,18.6,99.05,11.3,558
Brodric Thomas,CLE,103.6,108.1,-4.5,11.5,1.36,16.6,1.9,10.7,6.2,12.2,43.5,48.7,15.8,100.74,5.2,833
Mason Jones,PHI,98.9,108.8,-9.9,21.1,1.45,18.9,1.8,14.5,7.6,13.1,52,55.6,21.7,105.91,9.2,730
Naji Marshall,NOP,108.1,109.6,-1.5,16.5,2.32,23.9,2,18.2,10,10.3,46.2,50.8,16,105.1,8.8,1530
Dylan Windler,CLE,104.6,111.1,-6.5,8.9,1.03,15.9,3.9,17.1,10.4,15.5,53.8,56.7,14,101.87,8.2,1092
CJ Elleby,POR,102.3,107.6,-5.3,7.6,2,11.4,4.9,8.9,6.9,5.7,43.2,46.8,16,106.16,4.7,429
Daniel Oturu,LAC,104.2,102.5,1.8,9.2,1.11,13,11.9,15.7,13.8,11.7,43.3,47.1,17.4,97.85,7.3,330
Jordan Nwora,MIL,106.8,107.1,-0.3,4,0.29,3.9,3.3,16.2,10.3,13.5,56.3,58.6,25.4,105.88,11.3,603
Nico Mannion,GSW,102.6,111.9,-9.4,27,2.26,30.7,1.6,10.7,6.1,13.6,43.9,48.7,18.6,102.55,7.5,776
Sam Merrill,MIL,101.2,109.7,-8.5,13.5,2.1,20,2.4,9.4,6,9.5,59,60.3,14.6,104.73,8.4,510
Trent Forrest,UTA,108.2,115.9,-7.7,20.5,2.14,30.8,3.8,11.1,7.5,14.4,48.6,55.4,14.4,98.78,7.8,621
Jalen Smith,PHX,106.3,110.7,-4.4,3.7,0.57,6.3,4.4,17.4,11.1,10.9,48,49.9,16.1,103.72,5.9,336
Anthony Gill,WAS,104.1,105.6,-1.6,7.3,1.38,12.8,7.4,15.1,11.4,9.3,55.8,59.7,14.3,104.25,8.9,469
Killian Hayes,DET,100.6,110.7,-10.1,29.9,1.66,32.2,0.9,9.2,5,19.3,40.3,42.2,18.5,100.12,5.3,1403
Paul Reed,PHI,107.5,96.3,11.2,10.7,1,11.5,14.7,17.2,15.9,11.5,53.8,54,20.8,102.07,13.2,374
Reggie Perry,BKN,106.1,113.4,-7.3,9.7,0.93,12.5,11.7,20.4,16,13.4,43.6,46.6,19,101.96,6.4,446
Anthony Lamb,HOU,105.1,114.3,-9.2,8,1.21,13.5,5.5,10.9,7.9,11.2,48.7,52.3,14.4,103.93,5,896
Cassius Stanley,IND,97.5,88.1,9.4,1.7,1,2,6.7,11,8.7,2,33.7,38.3,19.8,103.13,2.7,200
Cassius Winston,WAS,92.8,114.2,-21.4,22.2,2.4,22.6,0,8.7,4.4,9.4,54.5,57.5,18.2,102.65,7.9,208
Josh Hall,OKC,100.7,113.9,-13.2,11.8,1.12,16.3,1.6,15.1,8.1,14.5,32.3,36.3,17.4,104.93,1.5,733
Nate Hinton,DAL,87.3,115.4,-28.2,15.1,1.6,13.6,0.9,9.1,4.4,8.5,40.5,44.2,21.7,104.12,6.6,204
Armoni Brooks,HOU,103.9,115.6,-11.7,9,1.36,12,1.7,11.2,6.1,8.8,56.3,56.5,17.5,102.94,6.8,1114
Deividas Sirvydis,DET,97.2,106.9,-9.7,6.2,1,9.6,0,22.5,10.7,9.6,47.5,48.1,15,100.61,7,281
Freddie Gillespie,TOR,101.3,110.9,-9.6,3.4,0.75,7.4,10,14.2,12,9.9,52.4,56.3,12,100.86,7.5,824
Vernon Carey Jr.,CHA,105,108.3,-3.2,2.8,0.4,4.2,5.4,17.4,11.6,10.4,51.4,56.3,17.8,100.44,7.9,238
Elijah Hughes,UTA,91.5,120.3,-28.8,15.8,1,13.6,1.4,11.9,6.6,13.6,46.7,48.8,24.2,105.09,7.1,141
Killian Tillie,MEM,107.2,97.7,9.6,6.3,4,11.1,3.1,8.2,5.9,2.8,42.1,46.1,14.8,102.06,4.7,388
Nick Richards,CHA,93.3,103.8,-10.5,5.4,0.67,10.5,5.6,9.6,7.6,15.8,44.4,54.2,11.1,101.95,3.3,134
Sean McDermott,MEM,89.1,106.8,-17.7,4.3,1,8.9,3.1,8.7,5.5,8.9,47,53.4,10.1,103.34,5.2,341
Tyler Bey,DAL,85.8,112.8,-27,6.3,1,10,9,17.7,12.6,10,34.1,37.2,14.3,107.57,3.8,162
Keljin Blevins,POR,85.2,107.5,-22.2,8.3,0.8,13.8,3.1,7.1,5.2,17.2,30,30,12.6,112.13,-0.5,176
Ty-Shon Alexander,PHX,101,107,-6,20,2,27.3,3.8,15.7,9.7,13.6,33.3,34.9,14.3,100.07,5.2,98
Udoka Azubuike,UTA,69.8,124.4,-54.5,0,0,0,6.3,15,10.5,17.6,44.4,59.7,11.9,104.48,5.4,126
Mamadi Diakite,MIL,103.2,99.4,3.8,7.9,2.67,13.8,5.2,16,10.7,5.2,41.3,47.7,14.2,107.54,8.1,314
Jahmi'us Ramsey,SAC,106.7,104.2,2.4,8.8,2,12.2,1.9,8,4.8,6.1,46.1,49.8,18.3,107.46,6.3,210
Jalen Harris,TOR,108.2,107.8,0.3,15.3,1.21,15.9,1.7,9.1,5.2,13.1,61.8,63.2,21.9,102.91,9.7,368
Robert Woodard II,SAC,107.5,101,6.6,5.6,2,7.4,8,23.5,15.8,3.7,42.5,42.5,21,110,7.9,106
Devon Dotson,CHI,105.3,83.7,21.7,20,0,25,3.9,6.1,5,0,54.8,54.8,16,103.72,16.6,113
Jontay Porter,MEM,93,92.2,0.9,3.3,0.14,4,6.5,14.9,10.9,28,63.3,64,18.2,102.24,6.7,115
Tyrell Terry,DAL,88.4,88.4,0,15.8,3,24,0,11.8,5,8,31.3,31.8,13.5,103.15,6.7,121
Gabriel Deck,OKC,104.1,116.8,-12.7,16,4,22.4,6.7,11.8,9,5.6,49.3,54.8,15.9,103.21,10,458
Karim Mane,ORL,99.5,111.5,-12,6.1,1.33,18.2,1,15.1,7.3,13.6,26.9,36.2,8.5,99.46,1.7,183
Dakota Mathias,PHI,97.3,107.9,-10.6,15.7,13,20.3,0.7,4.1,2.3,1.6,47.9,47.4,16.6,102.83,6.2,263
Devin Cannady,ORL,100.6,114.4,-13.7,2.3,0.5,2.9,0,6.5,3,5.9,50,54.7,18.1,102.97,6.1,159
Grant Riller,CHA,96.4,101.8,-5.4,30,3,18.8,0,4,2,6.3,75,75,22,97.82,21.1,55
Nate Darling,CHA,67.9,122.2,-54.3,11.1,1,11.1,3.2,0,1.8,11.1,42.9,54.1,13.3,98.33,4.8,53
Robert Franks,ORL,106,120.5,-14.4,7,2.5,12.2,5.3,8.2,6.6,4.9,55.4,63.8,14.8,101.27,9.1,215
Amida Brimah,IND,114.9,82.1,32.8,4.2,0.25,7.1,7.7,15,12.1,28.6,62.5,69.7,17.6,109.84,11.1,67
Cameron Oliver,HOU,111.2,116.4,-5.2,8.6,1.67,11.9,5,18.8,11.4,7.1,63.6,61.9,17.4,103.54,9.5,188
Greg Whittington,DEN,103.7,70.4,33.3,0,0,0,0,0,0,0,0,0,10.3,107.85,-7.1,27
Jay Scrubb,LAC,112.8,115.6,-2.8,1.5,0.14,2.2,2.2,14,7.9,15.2,41.7,45.8,21.7,100.35,5.1,179
Didi Louzada,NOP,102.5,109.8,-7.3,7.3,1,15.8,1.5,3.2,2.3,15.8,30.8,30.8,11.4,103.09,-1.2,120
Malik Fitts,LAC,86.4,113.6,-27.3,0,0,0,0,30,15,0,50,50,12,97.63,2.9,22
Ashton Hagans,MIN,60,81.8,-21.8,0,0,0,0,0,0,100,0,0,8.3,123.93,-25,10
Elijah Bryant,MIL,119.7,105.7,14,13,0.75,14.3,6.5,13.3,9.8,19,50,55.9,23.1,107.19,7.2,71
Will Magnay,NOP,37.5,185.7,-148.2,0,0,0,0,0,0,50,0,0,20,110.2,-17.1,8
Franz Wagner,ORL,105.9,110.8,-4.9,15.1,1.94,16.2,3.3,10.6,6.9,8.4,51.7,55.9,20.8,100.13,10.2,5070
Herbert Jones,NOP,112.2,110.2,2,9.7,1.67,18.3,4.1,8.6,6.3,10.9,52.5,57.3,13.6,98.84,6.8,4796
Ayo Dosunmu,CHI,109.1,114.1,-5,16.4,2.37,27.5,1.3,9,5.2,11.6,58.5,59.6,13.8,100.31,7,4418
Corey Kispert,WAS,113,112.9,0.1,6.4,1.7,12.6,3,8.4,5.8,7.4,56.4,58.6,14.2,98.52,6.7,3712
Davion Mitchell,SAC,105.3,111.3,-6,23.5,2.75,24,1.5,6.2,3.8,8.7,47.7,48.9,20.2,100.85,7.4,4356
Josh Christopher,HOU,106.9,116.1,-9.2,17,1.32,18.4,3.7,10.3,6.9,14,50.4,53.4,20.5,102.59,8.3,2846
Scottie Barnes,TOR,110.2,108.4,1.8,15,1.88,18.1,6.8,14.1,10.2,9.6,52.4,55.2,18.7,97.03,10.9,5277
Alperen Sengun,HOU,106.4,116.6,-10.2,19.3,1.28,19.4,8.9,17.4,13,15.2,50.2,55.2,21.4,101.69,9.9,3161
Jonathan Kuminga,GSW,109.5,107.5,1.9,8.7,0.86,9.3,4.7,13.9,9.6,10.8,56.7,60,22.7,99.79,9.8,2457
Bones Hyland,DEN,113.4,111.7,1.7,22,2.22,21.2,1.1,13.3,7.2,9.6,51.8,55.8,23.1,99.84,9.6,2722
Evan Mobley,CLE,108.5,106.8,1.7,11.7,1.31,14,6.3,17.4,12,10.7,52.2,54.9,20.1,97.5,11.6,4741
Cam Thomas,BKN,106.3,112.7,-6.4,10.2,1.42,11.5,1.3,11.8,6.5,8.1,48,51.9,21.2,100.69,8.9,2476
Jalen Green,HOU,105.7,116.9,-11.3,13.2,1.3,12.9,1.5,8.8,5.1,9.9,50.8,54.7,23.4,102.5,8.5,4563
Cade Cunningham,DET,106.9,113.1,-6.2,28.3,1.52,21,2.6,14.3,8.3,13.8,47.1,50.4,27.3,98.71,10,4290
Dalano Banton,TOR,106.6,105.1,1.5,19.7,1.87,26.5,4.8,12.4,8.3,14.2,44.3,46.3,15.9,99.8,7,1452
Trey Murphy III,NOP,108.1,107.8,0.3,6.5,2.38,10.9,4.9,12.2,8.3,4.6,52.2,55.8,14.7,100.77,8,1810
Ziaire Williams,MEM,112.9,108.8,4.2,6.2,1.59,11.8,1.7,7.1,4.4,7.4,54,55.9,14.4,103.22,5.5,2896
Austin Reaves,LAL,110.8,109,1.8,10.1,2.75,21.2,3.1,9.9,6.6,7.7,54.2,60,12.1,101.81,7.6,3007
Tre Mann,OKC,101.7,112,-10.3,10.8,1.28,11.6,1.7,10.1,5.8,9,47.6,50.1,21.3,100.48,6.9,2869
Omer Yurtseven,MIA,113.3,108,5.3,10.5,1.2,13.5,12,29.3,20.7,11.3,52.8,54.6,19,98.22,12.7,1439
Chris Duarte,IND,107.6,109.7,-2,11,1.27,13.1,2.6,11.7,7.1,10.3,50.7,53.7,20.7,99.3,8.9,3193
Jock Landale,SAS,107.9,109,-1.1,11.5,1.45,15.2,9.4,11.8,10.6,10.4,56.6,59.7,17.2,103.34,9.7,1266
Jose Alvarado,NOP,112.1,104.8,7.3,26.1,3.8,29.9,2.9,9.4,6,7.9,50,52,17.4,100.67,10.7,1756
Josh Giddey,OKC,101.1,109.4,-8.3,32.5,2.02,28.2,5.2,17.5,11.3,14,46.1,47.8,21.8,99.95,11.4,3538
Moses Moody,GSW,104.8,108.9,-4,5.6,1.77,9.8,2.8,9.8,6.4,5.6,54.6,57.3,14.8,101,6.9,1282
Brandon Boston,LAC,102.9,104.9,-2,10.3,1.65,11.6,2,11.1,6.6,7.1,43.7,48.1,21.2,101.71,8.3,1609
Aaron Wiggins,OKC,104.5,112.6,-8.1,8.3,1.26,13.8,4,9.8,6.9,10.9,52.5,55.6,14.9,101.6,6.2,2546
Joshua Primo,SAS,107.9,111.2,-3.3,11.1,1.42,18.7,3.1,7.9,5.5,13.1,45.2,48.7,15.2,102.04,4.4,2045
Jeremiah Robinson-Earl,OKC,101.1,110.9,-9.8,6.9,1.26,11.2,6.1,17.2,11.5,8.9,50.3,52.6,15.2,99.57,8.4,2247
Duane Washington Jr.,IND,110.2,116.1,-5.9,12.8,1.49,14.3,0.4,8.2,4.2,9.6,50,52.1,21.4,103.32,6.4,2083
Greg Brown III,POR,99.1,116.8,-17.6,8.7,0.97,12,5.7,15,10.3,12.4,47.6,51.5,16.8,101.99,6.4,1359
Jalen Suggs,ORL,100.6,107.8,-7.1,24.9,1.46,21.5,1.9,10.2,6.1,14.7,40,45.5,24.4,102.44,6.4,2785
Kessler Edwards,BKN,112.2,115.5,-3.3,4,0.74,8.9,4.3,12.4,8.4,12.1,50.2,51.6,13.2,100.72,5.1,2075
Trendon Watford,POR,100.5,118.4,-17.9,15.2,1.84,18.7,6,16.3,10.9,10.2,54.9,59,16.9,102.67,9.7,1852
Quentin Grimes,NYK,102,105,-3,9.5,1.57,14,2.8,8.5,5.6,8.9,55.7,56.5,14.9,96.7,7,1581
Ish Wainright,PHX,106.2,100.6,5.6,5.7,1.15,11,6.6,7.2,6.9,9.6,48.6,49.4,13.4,103.3,4.3,770
Jared Butler,UTA,112.5,112.6,-0.1,25.8,1.91,24.8,1.4,10.2,6.1,13,49.7,50.9,22.1,101.73,7.3,758
Jericho Sims,NYK,109.3,102.9,6.5,5.4,1.05,19.3,10.8,18.7,14.8,18.3,72.2,67.4,6.8,99.02,7.4,1146
Sandro Mamukelashvili,MIL,99.6,117.3,-17.6,8.4,1.47,13.7,7.9,11.6,9.7,9.3,59.1,61.8,14.2,100.54,9,855
Miles McBride,NYK,113.1,100.1,13,15.9,8.2,25.8,1.1,9.7,5.6,3.1,37.5,39.3,13.7,97.3,4.1,756
Keon Johnson,POR,100.8,119.8,-19,17.4,1.65,18.2,3.1,8.3,5.6,11,41.5,45.3,20.7,99.9,5.2,1444
Isaiah Jackson,IND,113.3,116.1,-2.8,2.7,0.25,3.4,10.9,15.7,13.3,13.6,57.5,60.7,21.4,103,9.3,1158
Justin Champagnie,TOR,115.4,108,7.4,5.1,1.38,12.2,11.1,12.6,11.8,8.9,53.7,57.1,11.1,99.31,7,585
Leandro Bolmaro,MIN,102.6,102.5,0.2,11.8,1.62,22.3,6.2,10.7,8.4,13.8,36.1,41.9,12.2,105.58,3.8,531
JT Thor,CHA,107.2,106.9,0.3,9.7,1.9,20.7,4,11.1,7.7,10.9,50,52.5,11.6,102.46,6,555
Terry Taylor,IND,112.2,119.1,-6.9,8.1,1.78,13.4,12.9,11.7,12.3,7.5,64.1,65.6,15.1,102.08,9.7,1514
Day'Ron Sharpe,BKN,115.6,108.8,6.9,6.2,0.57,8,19.7,19.8,19.8,14.1,58.4,59.3,20.5,99.71,11.1,812
Keifer Sykes,IND,108.5,112.9,-4.5,16.2,1.88,21.3,1.4,6.9,4,11.3,43.4,45.6,17.4,98.86,3.9,1159
Luka Garza,DET,104.6,110.9,-6.3,8.6,1.11,9.6,13,11.6,12.4,8.6,50.3,53.5,19.5,102.18,7.5,823
Santi Aldama,MEM,105.9,104.6,1.3,8,1.31,11.6,7.7,15,11,8.8,42.4,45.2,17.4,101.67,6.6,765
James Bouknight,CHA,108,114.2,-6.2,13.2,1.73,13.3,6.4,9,7.7,7.7,40.8,45.9,22.6,103.73,6,654
Vít Krej?í,OKC,103.3,116.1,-12.8,11.7,1.97,21.7,2.4,12.1,7,11,50.3,52.9,12.5,101.02,5.6,1455
Joe Wieskamp,SAS,106.5,105.1,1.5,6.5,4.5,12.3,1.7,4.5,3.1,2.7,48.2,49.4,12.9,101.08,3.9,429
Sam Hauser,BOS,105.7,106,-0.3,9.5,5,16.1,3,13.3,8.4,3.2,65,65,13.6,101.42,10.4,334
Lindy Waters III,OKC,108.5,113.2,-4.7,7.8,2.18,11.3,1.2,14,7.5,5.2,55.7,56.2,16.6,102.81,8.2,1000
Brandon Williams,POR,101.2,121.6,-20.4,23.5,1.62,19.7,2.6,8.9,5.5,12.2,42.7,47.6,24.6,100.92,6.9,1346
Daishen Nix,HOU,104.4,111,-6.6,20.8,1.54,27.2,2.6,10.3,6.4,17.7,45.5,48,16.7,104.29,5.9,564
Kevin Pangos,CLE,104.9,117.1,-12.1,24.6,4.29,35.3,1.2,5.7,3.5,8.2,39.1,40.8,14.3,99.17,4.6,346
Usman Garuba,HOU,118.6,111.5,7,8.4,2.83,24.3,8.3,26.3,17,8.6,48.9,51,9.1,104.06,8.7,517
Charles Bassey,PHI,98.6,107.4,-8.8,7,0.88,10.4,12.4,23.3,17.7,11.9,63.8,66,15.2,99.94,12.8,348
David Duke Jr.,BKN,110.7,110.6,0.1,6.6,1.89,11.8,7.7,10.5,9,6.3,40.3,44.4,15,100.48,5.3,709
Jalen Johnson,ATL,95.8,105.8,-10,4.5,0.33,5.4,1.6,17.5,9.9,16.1,57.3,59,18.3,104.26,9.6,265
Olivier Sarr,OKC,106,108,-2,6.6,0.86,12.3,7.8,13.3,10.6,14.3,63.9,67.2,13.6,100.59,7.9,877
Kai Jones,CHA,93.4,104.4,-11.1,10.3,0.67,14.3,4.5,11.4,8.1,21.4,67.9,62.8,15,103.76,6.5,136
Isaiah Livers,DET,113.8,114.6,-0.8,7.7,1.4,15.9,3.7,10.9,7.2,11.4,60.6,62.9,12.5,98.25,6.6,783
Lindell Wigginton,MIL,107.3,119.2,-11.8,16.7,1.92,20.7,1.5,10.6,6.2,10.8,50,52.4,18.3,104.86,6,437
Malcolm Hill,CHI,107.4,114.7,-7.3,5,2.67,11.8,5.1,11.8,8.4,4.4,58.7,61.9,11.8,103.2,6.3,457
Javonte Smart,MIA,99.8,110.3,-10.6,12.1,1.45,17.8,2.2,9.4,5.6,12.2,38.3,40.7,15.4,100.39,3.9,419
Neemias Queta,SAC,104.3,108.4,-4.1,7.6,1,10.3,10.4,14.4,12.3,10.3,44.7,49.5,17.6,100.94,6.2,253
Ruben Nembhard Jr.,CLE,82.7,91.1,-8.4,34.3,4,34.3,4.2,5.6,4.9,8.6,33.3,38,16,95.64,9.7,127
Georgios Kalaitzakis,OKC,95.7,124.9,-29.3,9,0.6,10.7,2.6,7.4,4.8,17.9,53.7,53.6,20,99.61,4.3,441
Jamorko Pickett,DET,109.1,108.8,0.3,5.7,1.4,11.1,3.2,14.1,8.6,7.9,49,49.1,13.3,101.87,5.7,374
Petr Cornelie,DEN,102.3,96.5,5.8,11.5,0.75,12.5,15.9,21.9,18.4,16.7,36.7,41.8,20.8,109.36,4.6,88
Sharife Cooper,ATL,62.1,106,-43.9,31.3,1,20.8,0,14.7,6.2,20.8,25,25,20.2,106.36,0,87
Isaiah Todd,WAS,87.7,103.2,-15.6,9.5,1,10.8,3.4,12.3,7.5,10.8,34.6,34.9,18.8,99.69,3.3,154
Marcus Garrett,MIA,114.1,108.3,5.8,6.9,3.5,21.9,7.2,10.8,9,6.3,26.2,28,8.6,95.45,1.6,256
